,0
country_code,US
language_code,en
locale,en_US
biography,Google unfilteredâ€”sometimes with filters.
blocked_by_viewer,False
business_email,
restricted_by_viewer,
country_block,False
external_url,https://linkin.bio/google
followers,12250530
followed_by_viewer,False
following,30
follows_viewer,False
has_ar_effects,False
has_clips,True
has_guides,False
has_channel,False
has_blocked_viewer,False
highlight_reel_count,5
has_requested_viewer,False
id,1067259270
is_business_account,True
is_joined_recently,False
business_category,Business & Utility Services
overall_category,
category_enum,INTERNET_COMPANY
is_private,False
is_verified,True
mutual_followed_by,0
profile_pic_url,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/s150x150/119515245_239175997499686_2853342285794408974_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_ohc=1dyXf_riYOcAX-iIaHU&oh=d78344c2df05b474ca5db1c7a0238c2f&oe=5FA8A4DB
requested_by_viewer,False
username,google
connected_fb_page,
posts,1405
